P,ETP,Q
4.5,3.12,9.4
4.5,3.12,5.2
48.2,3.12,3.6
12.7,3.12,6.5
1.7,3.12,7.8
0,3.12,3.7
0,3.12,2.9
2.3,3.12,3.1
0,3.12,2.5
4.6,3.12,2.1
0,3.12,1.9
0,3.12,1.9
0,3.12,1.6
0,3.12,1.6
0,3.12,1.6
0,3.12,1.6
0,3.12,1.6
0,3.12,1.6
0,3.37,1.8
3.2,3.37,1.8
18.1,3.37,1.9
3.7,3.37,1.8
11.7,3.37,4.3
9.3,3.37,3.6
0,3.37,3.4
0.5,3.37,1.9
1.6,3.37,2.5
0,3.37,2.4
0,3.37,2.4
0,3.37,1.9
0,3.37,1.9
0,3.37,1.9
0,3.37,1.9
0,3.37,1.6
0,3.37,1.6
0,3.37,1.8
0,3.37,1.9
0,3.37,1.7
0,3.37,1.4
9.8,3.37,1.3
0,3.37,1.3
0,3.37,1.3
0,3.37,1.1
0,3.37,1.4
0,3.37,1.4
0,3.37,1.3
0,3.37,3.4
0,3.37,1.8
0,3.36,1.3
0,3.36,1.2
0,3.36,1.1
0,3.36,0.9
0,3.36,0.9
0,3.36,0.8
0.8,3.36,0.9
13.5,3.36,1.2
0,3.36,2.5
0,3.36,1.7
0,3.36,1.2
0,3.36,1.3
0,3.36,1.3
3.2,3.36,1.2
1.2,3.36,1
0,3.36,1.1
0,3.36,1
0,3.36,1
0,3.36,1.5
0,3.36,1.3
0,3.36,1.1
26.3,3.36,1.1
10,3.36,1.3
3.6,3.36,1.7
0.2,3.36,2.1
9.1,3.36,1.8
0,3.36,1.8
1,3.36,1.3
0,3.36,2
0,3.36,1.6
0,3.36,1.3
0,3.65,1.2
0,3.65,1.2
0,3.65,1.1
0,3.65,0.9
0,3.65,0.9
0.3,3.65,0.9
0,3.65,1.1
4,3.65,1.3
22.9,3.65,2.4
1.5,3.65,8.8
0,3.65,2.8
2.9,3.65,2.4
0,3.65,1.9
0.2,3.65,1.7
0.5,3.65,1.6
0,3.65,1.6
0,3.65,1.3
0,3.65,1.3
12.8,3.65,1.3
0,3.65,1.3
1,3.65,1.3
5.6,3.65,1.3
0.2,3.65,1.1
0,3.65,1.1
5.9,3.65,1.1
1.6,3.65,1.2
7.4,3.65,1.2
2.5,3.65,1.4
0,3.65,1.1
7.4,3.65,1.1
0,3.65,1.1
0,3.79,0.9
0,3.79,0.9
0,3.79,1.1
0,3.79,1
0,3.79,0.8
0,3.79,0.8
2.7,3.79,1.3
21.1,3.79,2.7
25,3.79,1.9
1.5,3.79,2.4
11.7,3.79,2
11.9,3.79,1.9
18.7,3.79,3.7
0.6,3.79,5.2
7.2,3.79,3.2
0,3.79,2.1
0,3.79,1.8
4.5,3.79,1.7
0.2,3.79,1.6
0,3.79,1.3
0,3.79,1.3
2.2,3.79,1.2
3.4,3.79,1.1
0.4,3.79,1.3
4.7,3.79,1.3
7.5,3.79,1.3
6.5,3.79,1.3
0.3,3.79,2.3
0,3.79,2.1
3.4,3.79,1.6
0,3.65,2
0,3.65,1.5
0,3.65,1.3
0,3.65,1.3
0,3.65,1.3
0,3.65,1.3
1.7,3.65,1.8
16.2,3.65,1.8
0.3,3.65,2.1
0.8,3.65,1.8
0.3,3.65,2.5
6.9,3.65,2.9
0.6,3.65,1.4
0,3.65,1.3
0,3.65,1.3
